               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.048908,            0.015773,           0.0048526,             0.77568,             0.55793,             0.60028,             0.33358,            0.045762,            0.016209,            0.013178,            0.007558,            0.007558,            0.007558
                  76,            0.049383,            0.015484,            0.005279,             0.79423,             0.55516,             0.60862,             0.33789,            0.045955,            0.016173,            0.012048,            0.007525,            0.007525,            0.007525
                  77,            0.049493,            0.015928,           0.0051041,             0.79713,             0.54869,             0.59615,              0.3416,            0.046025,            0.016429,            0.012175,            0.007492,            0.007492,            0.007492
                  78,            0.049103,            0.015525,           0.0048894,             0.73055,             0.52974,             0.59099,             0.32768,            0.045729,             0.01619,            0.012375,            0.007459,            0.007459,            0.007459
                  79,            0.048933,            0.015512,           0.0050522,             0.75274,             0.54766,             0.59154,             0.31841,            0.046081,            0.016381,            0.013108,            0.007426,            0.007426,            0.007426
                  80,            0.049262,            0.015714,           0.0050711,             0.80804,              0.5185,             0.58515,             0.32338,            0.045634,             0.01634,             0.01285,            0.007393,            0.007393,            0.007393
                  81,            0.050107,            0.015947,           0.0049956,             0.69095,             0.52895,             0.58635,             0.31966,            0.045999,            0.016397,            0.013118,             0.00736,             0.00736,             0.00736
                  82,            0.049017,            0.015757,           0.0050614,             0.69763,             0.56755,             0.58185,             0.31439,            0.045658,            0.016183,            0.013004,            0.007327,            0.007327,            0.007327
                  83,             0.04919,            0.015666,           0.0048641,             0.81494,             0.56721,             0.62025,             0.33748,            0.045484,             0.01635,            0.013035,            0.007294,            0.007294,            0.007294
                  84,            0.048403,            0.015398,           0.0048772,             0.78635,             0.52776,             0.59903,             0.33985,            0.045575,            0.016295,            0.012676,            0.007261,            0.007261,            0.007261
                  85,            0.049443,            0.015299,           0.0046214,             0.79213,             0.55919,             0.58247,             0.31593,            0.045911,            0.016524,            0.012421,            0.007228,            0.007228,            0.007228
                  86,            0.048969,            0.015542,           0.0047226,             0.77622,             0.56928,             0.62163,             0.33534,            0.045254,            0.016257,            0.012449,            0.007195,            0.007195,            0.007195
                  87,            0.048165,            0.015251,           0.0049748,             0.74192,             0.52182,             0.58842,             0.31517,            0.045597,            0.016353,            0.013102,            0.007162,            0.007162,            0.007162
                  88,            0.048883,            0.015391,           0.0046901,             0.78701,             0.52578,              0.5839,             0.32512,            0.045798,            0.016384,            0.012693,            0.007129,            0.007129,            0.007129
                  89,            0.048517,            0.016392,           0.0048531,             0.72904,             0.55142,             0.59465,             0.33349,            0.045914,            0.016417,            0.012434,            0.007096,            0.007096,            0.007096
                  90,            0.050019,            0.015896,           0.0048683,             0.77803,             0.55256,             0.60367,              0.3302,            0.045589,            0.016366,            0.011513,            0.007063,            0.007063,            0.007063
                  91,            0.048408,            0.015328,           0.0044999,             0.74295,             0.56274,             0.61142,             0.33819,             0.04555,            0.016286,             0.01229,             0.00703,             0.00703,             0.00703
                  92,            0.048211,            0.015534,           0.0045403,             0.70906,             0.54107,               0.585,             0.31495,            0.045618,            0.016325,            0.012708,            0.006997,            0.006997,            0.006997
                  93,            0.049016,            0.015528,           0.0045508,             0.74922,             0.53576,             0.60933,             0.32538,            0.045658,            0.016274,            0.012814,            0.006964,            0.006964,            0.006964
                  94,            0.048528,            0.015217,           0.0044943,             0.76777,             0.53122,             0.60168,             0.33063,            0.045446,            0.016313,            0.012108,            0.006931,            0.006931,            0.006931
                  95,            0.048269,            0.015258,            0.004607,             0.80831,             0.56457,             0.60094,             0.33025,            0.045231,            0.016294,            0.012362,            0.006898,            0.006898,            0.006898
                  96,            0.048276,            0.015329,           0.0045242,             0.82296,             0.57112,             0.60794,             0.33734,            0.045393,            0.016356,            0.012497,            0.006865,            0.006865,            0.006865
                  97,            0.048364,            0.015604,           0.0044664,              0.8065,             0.57601,             0.63331,             0.32703,            0.045649,            0.016232,            0.012797,            0.006832,            0.006832,            0.006832
                  98,            0.048625,            0.015759,            0.004435,             0.78009,             0.52889,             0.60037,             0.33458,            0.045457,            0.016325,             0.01233,            0.006799,            0.006799,            0.006799
                  99,            0.047684,            0.015299,           0.0043849,              0.7793,             0.55022,             0.60597,             0.32985,            0.045157,            0.016262,            0.012423,            0.006766,            0.006766,            0.006766
                 100,            0.048215,             0.01542,           0.0041512,               0.757,             0.56133,             0.62026,             0.33575,              0.0453,            0.016331,             0.01206,            0.006733,            0.006733,            0.006733
                 101,            0.048409,            0.014996,           0.0044635,             0.81497,             0.57727,             0.61848,             0.34034,            0.045284,            0.016571,            0.012657,              0.0067,              0.0067,              0.0067
                 102,            0.048443,            0.015533,           0.0041925,             0.80675,             0.56564,             0.61067,             0.34272,            0.045021,            0.016216,            0.013436,            0.006667,            0.006667,            0.006667
                 103,            0.047553,            0.015152,           0.0040222,             0.76944,             0.54057,             0.60644,             0.33509,            0.045027,            0.016362,            0.013656,            0.006634,            0.006634,            0.006634
                 104,            0.048349,            0.015047,           0.0042983,             0.80152,             0.56945,              0.6219,             0.35385,              0.0451,            0.016403,            0.012963,            0.006601,            0.006601,            0.006601
                 105,            0.047243,            0.015467,           0.0041954,             0.82896,             0.56238,             0.62243,             0.34349,            0.045033,            0.016395,            0.012965,            0.006568,            0.006568,            0.006568
                 106,            0.048107,            0.015441,           0.0040113,             0.81441,             0.56772,             0.60151,             0.33741,            0.044916,            0.016513,            0.012791,            0.006535,            0.006535,            0.006535
                 107,            0.048868,            0.015298,           0.0042423,             0.69649,             0.61615,             0.61722,              0.3385,            0.044856,            0.016294,            0.012563,            0.006502,            0.006502,            0.006502
                 108,            0.047342,            0.014931,           0.0040244,             0.79481,             0.53443,             0.58532,             0.31909,            0.044924,            0.016221,            0.013712,            0.006469,            0.006469,            0.006469
                 109,            0.047932,            0.015703,           0.0042361,              0.8015,             0.52786,             0.59228,             0.32848,            0.044762,            0.016154,            0.013147,            0.006436,            0.006436,            0.006436
                 110,            0.047741,            0.015356,           0.0040219,             0.72665,             0.57568,              0.6041,             0.34059,            0.044713,            0.016198,            0.013553,            0.006403,            0.006403,            0.006403
                 111,            0.047498,            0.015257,           0.0039691,             0.77787,             0.57252,             0.60369,             0.34404,            0.044989,            0.016242,            0.013544,             0.00637,             0.00637,             0.00637
                 112,            0.047114,            0.015021,           0.0041151,             0.80527,              0.5709,             0.60225,             0.34528,             0.04502,            0.016235,            0.013093,            0.006337,            0.006337,            0.006337
                 113,            0.047541,             0.01521,           0.0038188,             0.78715,             0.53542,             0.59027,             0.33978,            0.044985,            0.016163,            0.013597,            0.006304,            0.006304,            0.006304
                 114,            0.046768,            0.014563,           0.0039432,             0.81276,             0.57273,             0.61226,             0.34625,            0.044855,            0.016164,            0.012424,            0.006271,            0.006271,            0.006271
                 115,            0.047242,            0.015208,           0.0040258,             0.71739,             0.58913,             0.60844,             0.34511,            0.044856,            0.016145,            0.013021,            0.006238,            0.006238,            0.006238
                 116,             0.04733,            0.015191,           0.0038674,             0.81282,             0.56667,             0.61017,             0.35691,            0.044667,            0.016295,            0.012843,            0.006205,            0.006205,            0.006205
                 117,            0.047254,            0.014992,           0.0039665,             0.79194,             0.53727,             0.58522,             0.32939,            0.044992,            0.016315,            0.013414,            0.006172,            0.006172,            0.006172
                 118,             0.04727,            0.014719,           0.0039357,             0.76404,              0.5342,             0.60099,             0.33621,            0.044849,             0.01648,              0.0134,            0.006139,            0.006139,            0.006139
                 119,            0.047047,            0.015216,           0.0038374,             0.75189,             0.55333,             0.60899,             0.34949,            0.044456,            0.016097,             0.01268,            0.006106,            0.006106,            0.006106
                 120,            0.047137,            0.015186,           0.0037278,              0.7637,             0.61286,             0.62862,             0.35896,            0.044983,            0.016368,             0.01292,            0.006073,            0.006073,            0.006073
                 121,            0.046372,             0.01465,           0.0037207,             0.80444,             0.57081,             0.61088,             0.33621,            0.044906,            0.016297,             0.01268,             0.00604,             0.00604,             0.00604
                 122,            0.047202,            0.015725,           0.0038153,             0.77749,              0.5329,             0.60633,             0.33652,             0.04507,            0.016309,            0.012913,            0.006007,            0.006007,            0.006007
                 123,            0.046089,            0.014841,             0.00367,             0.74695,             0.53754,             0.58755,             0.33389,             0.04473,            0.016264,            0.012854,            0.005974,            0.005974,            0.005974
                 124,             0.04616,            0.015125,           0.0037401,             0.72762,             0.55058,             0.59066,             0.33213,            0.044978,            0.016296,            0.013778,            0.005941,            0.005941,            0.005941
                 125,            0.046582,            0.015085,            0.003763,             0.72384,             0.54083,             0.59267,             0.32535,            0.044849,            0.016187,            0.013996,            0.005908,            0.005908,            0.005908
                 126,            0.046709,            0.014884,           0.0037175,             0.76416,             0.54168,             0.61106,             0.34433,            0.045121,            0.016436,            0.013695,            0.005875,            0.005875,            0.005875
                 127,            0.045924,            0.014691,           0.0034405,             0.80877,             0.56731,              0.6066,             0.34781,              0.0448,            0.016303,            0.013052,            0.005842,            0.005842,            0.005842
                 128,            0.046074,            0.014722,           0.0038331,             0.81273,             0.57258,               0.626,               0.354,            0.044704,            0.016235,            0.013096,            0.005809,            0.005809,            0.005809
                 129,            0.046392,            0.014752,           0.0036366,             0.81481,             0.57397,             0.61831,             0.35499,            0.044665,            0.016324,            0.013556,            0.005776,            0.005776,            0.005776
                 130,            0.046841,              0.0153,           0.0036375,             0.68159,              0.6032,             0.60605,             0.34792,            0.044662,            0.016302,             0.01427,            0.005743,            0.005743,            0.005743
                 131,            0.046193,            0.014745,           0.0035011,             0.71694,             0.60356,             0.61278,             0.34632,            0.044467,             0.01611,            0.013602,             0.00571,             0.00571,             0.00571
                 132,            0.046055,            0.014599,           0.0034543,             0.75821,              0.5243,             0.58921,             0.33909,            0.044459,            0.016445,            0.013978,            0.005677,            0.005677,            0.005677
                 133,            0.045939,             0.01427,           0.0034783,             0.70649,             0.54519,             0.58854,              0.3365,            0.044686,            0.016326,            0.013775,            0.005644,            0.005644,            0.005644
                 134,            0.045641,            0.014589,           0.0034457,             0.78609,             0.56878,             0.61496,              0.3434,            0.044811,            0.016351,            0.014008,            0.005611,            0.005611,            0.005611
                 135,             0.04686,            0.015198,           0.0035092,             0.75714,             0.55199,             0.61386,             0.35062,            0.044603,            0.016319,            0.013448,            0.005578,            0.005578,            0.005578
                 136,            0.045991,              0.0145,           0.0035053,             0.68048,             0.58252,             0.59986,             0.34519,            0.044614,            0.016332,            0.014309,            0.005545,            0.005545,            0.005545
                 137,            0.045921,            0.014882,           0.0034517,              0.7283,             0.54229,             0.58304,             0.33229,            0.044678,             0.01647,             0.01387,            0.005512,            0.005512,            0.005512
                 138,            0.045055,            0.014212,           0.0034428,              0.8175,             0.53456,             0.60973,             0.34158,            0.044767,            0.016254,            0.013523,            0.005479,            0.005479,            0.005479
                 139,            0.046574,            0.014879,           0.0034979,             0.76573,             0.54522,             0.61151,             0.34585,            0.044657,            0.016147,            0.013592,            0.005446,            0.005446,            0.005446
                 140,            0.045694,            0.014471,            0.003444,             0.75695,             0.57548,             0.61321,             0.34755,            0.044669,            0.016287,            0.013517,            0.005413,            0.005413,            0.005413
                 141,            0.044845,            0.014342,            0.003221,             0.71907,              0.5463,             0.60454,              0.3493,            0.044583,             0.01632,            0.013438,             0.00538,             0.00538,             0.00538
                 142,            0.045404,            0.015025,           0.0032576,             0.75244,             0.54324,             0.59895,             0.33061,            0.044718,             0.01625,            0.013381,            0.005347,            0.005347,            0.005347
                 143,            0.045274,            0.014496,           0.0030108,             0.72775,             0.53631,              0.5898,              0.3267,            0.044849,             0.01648,            0.014621,            0.005314,            0.005314,            0.005314
                 144,            0.044123,            0.014208,            0.003258,             0.73226,             0.57738,             0.61489,             0.34769,            0.044731,            0.016304,            0.014033,            0.005281,            0.005281,            0.005281
                 145,              0.0456,            0.013977,           0.0034335,             0.75874,             0.56793,             0.60638,             0.34098,            0.044594,            0.016097,            0.013595,            0.005248,            0.005248,            0.005248
                 146,            0.045483,            0.014649,           0.0033507,             0.73967,             0.56891,             0.59879,             0.33409,            0.044684,            0.016435,            0.013955,            0.005215,            0.005215,            0.005215
                 147,             0.04603,            0.014664,           0.0033003,             0.70084,             0.54886,              0.6024,             0.34743,            0.044544,            0.016318,            0.013695,            0.005182,            0.005182,            0.005182
                 148,            0.044945,            0.014195,           0.0033248,             0.77083,             0.56107,             0.60765,             0.33983,            0.044556,            0.016148,            0.014576,            0.005149,            0.005149,            0.005149
